train_lang,ar,de,en,es,fa,fr,he,pt,ug,ur,vi,zh
ar,0.9644070195301444,0.6482211043093521,0.6133737148322308,0.6538076987168805,0.7181038412132764,0.6466007786762503,0.717391304347826,0.6634367951202466,0.20029041626331073,0.484195596379846,0.5775744098528909,0.511240632805995
de,0.6183484290970847,0.967876841020668,0.8590499721048857,0.8804365939010165,0.7748311440765756,0.8711190975341919,0.7440970525972969,0.8982113924452775,0.31268151016456924,0.6569633932189652,0.6994526171741362,0.6378850957535387
en,0.5863996603453155,0.9016910115764591,0.9714274328524747,0.8721046492251291,0.7613641072390502,0.8841968653289408,0.7718612603810454,0.8927470851733011,0.29235237173281703,0.6136701337295691,0.7312692439274717,0.6583680266444629
es,0.6585762807812058,0.8880538214437239,0.8407587471108632,0.968338610231628,0.796834210417271,0.9346111610262554,0.7883080931444391,0.9331257743749405,0.24830590513068732,0.6023909225989463,0.7499144714334588,0.650541215653622
fa,0.754811774695726,0.8111400690950967,0.7563561010600144,0.8011164805865689,0.9745162225997597,0.7775781172007588,0.8029636866959778,0.7958191695523715,0.356243949661181,0.7355126300148589,0.6679781046869655,0.5794338051623646
fr,0.6795216529861308,0.8890235771864962,0.8126245317605802,0.9275954007665389,0.776530062569925,0.9811320754716981,0.7953102100635075,0.9094576992724847,0.21616650532429815,0.6069161150884776,0.7607765993841943,0.6645295587010824
he,0.7558024341919048,0.8069579974543912,0.7904678409181478,0.8585235794034327,0.7877594994406,0.8579414994509335,0.9682462139716659,0.8489055500841884,0.3576960309777348,0.6465622045116844,0.7387102292165584,0.647210657785179
pt,0.642867251627512,0.8633856597369538,0.8302383039770463,0.9146808865189135,0.7551071147391538,0.9161425576519916,0.7752808988764045,0.9771261556056804,0.41897386253630203,0.5928002161285966,0.7497434143003763,0.6446294754371357
ug,0.38695867534673084,0.2876537971998303,0.23706862198135012,0.2762872854524246,0.410848216135582,0.27633023859438954,0.3868262497964501,0.27064205610445724,0.7115198451113263,0.32689450222882616,0.4030106055422511,0.36119900083263945
ur,0.5703014435324087,0.6422813503848718,0.5918944767673547,0.5409931678053658,0.7885053660962168,0.5218129180393332,0.5716495684741899,0.6105092607300568,0.2026137463697967,0.9357692827232204,0.5823640095791994,0.5296419650291424
vi,0.6804769317860175,0.6889508455057882,0.6826731489599107,0.6792201299783369,0.6523432644097295,0.7194768892882101,0.7015958312978342,0.6918702544715188,0.2984511132623427,0.571052276104282,0.8788915497776257,0.6626977518734388
zh,0.5170888763090857,0.699072671070974,0.6458515979915518,0.6635560739876687,0.6716943604193428,0.6814415493660777,0.6165119687347338,0.6359564126187375,0.24240077444336883,0.5765230312035661,0.7369141293191926,0.9569525395503747
