,trained_lang,rho,p_value
0,ar,-0.16783216783216784,0.602099427786538
1,de,-0.06993006993006995,0.8290236405313092
2,en,-0.034965034965034975,0.9140933424107598
3,es,-0.027972027972027972,0.9312343512018808
4,fa,0.06293706293706294,0.8459309212287789
5,fr,-0.14685314685314685,0.6487957097846664
6,he,-0.5384615384615385,0.07089431754922315
7,pt,-0.16083916083916086,0.6175234895401425
8,ug,-0.1258741258741259,0.6966831093957659
9,ur,-0.5524475524475525,0.0625114832796151
10,vi,-0.3076923076923077,0.3305892594121097
11,zh,-0.21678321678321683,0.49855598552418856
