,en,es,fr,fa,pt,ur,ug,vi,de,zh,he,ar
en,1.0,0.5382643720248993,0.566752105455877,0.043500549249359206,0.4280483339436104,0.01955327718784328,0.004320761625778103,0.028121567191504944,0.4587330648114244,0.07828634199926766,0.0224093738557305,0.02878066642255584
es,0.3371095720772371,1.0,0.5061230105948723,0.03238086501857543,0.5348805210292161,0.01467687932853277,0.0027060496261982294,0.02403338990047241,0.4220520111911205,0.06269779388157593,0.017428794202632665,0.02531761684171903
fr,0.3978102189781022,0.56723552996813,1.0,0.03557109077824612,0.445872314177033,0.01593502621568829,0.003187005243137658,0.026369898221445462,0.48714917240670297,0.06836640279634008,0.017836948699496247,0.023696926082039684
fa,0.08283363547622367,0.09845209873099986,0.09649979082415283,1.0,0.08436759168874634,0.45670059963742854,0.06972528238739367,0.020220331892344165,0.09134011992748571,0.06121879793613164,0.03402593780504811,0.427555431599498
pt,0.3488302697541179,0.6959894962998329,0.5176653139174027,0.0361064693244211,1.0,0.01778467414657436,0.0034614466459775605,0.029720697063738363,0.4209835282883743,0.06899021246120793,0.020589639532107903,0.027810933396992123
ur,0.056543837357052096,0.0677678949597628,0.06565014824227022,0.6935620499788225,0.06310885218127912,1.0,0.08746293943244388,0.018847945785684033,0.062261753494282084,0.05357899195256247,0.038966539601863616,0.3915713680643795
ug,0.03361823361823362,0.03361823361823362,0.035327635327635325,0.2849002849002849,0.03304843304843305,0.23532763532763531,1.0,0.020512820512820513,0.03247863247863248,0.02792022792022792,0.02564102564102564,0.3162393162393162
vi,0.15887463798096815,0.2167976830781961,0.21224658667769963,0.059991725279271824,0.20604054613156805,0.036822507240380636,0.014894497310715763,1.0,0.18328506412908566,0.07488622258998759,0.0359950351675631,0.04261481175010343
de,0.33258999681427204,0.4885844748858447,0.503185727938834,0.03477752999893809,0.3745354146755867,0.015610066900286716,0.003026441541892322,0.02352129128172454,1.0,0.0673781459063396,0.017840076457470534,0.02495486885419985
zh,0.12887281494876432,0.16479807112718506,0.16033755274261605,0.05292344786015672,0.1393610608800482,0.030500301386377337,0.00590717299578059,0.021820373719107895,0.15298372513562386,1.0,0.0377335744424352,0.049909584086799276
he,0.0726668249821895,0.09023984801709807,0.08240322963666588,0.05794348135834718,0.08192828306815483,0.04369508430301591,0.010686297791498456,0.020660175730230348,0.07979102350985515,0.07432913797197815,1.0,0.07456661125623368
ar,0.05755711775043937,0.08084358523725835,0.06751611013473931,0.44903339191564146,0.06824838898652606,0.270796719390744,0.0812829525483304,0.015084944346807265,0.06883421206795548,0.06063268892794376,0.045987111892208554,1.0
