,rho,p_value
ar,0.4803844614152615,0.11393741215192033
de,0.019044889907465983,0.9531543748370328
en,-0.14474116329674147,0.653565129639583
es,-0.15675789142887753,0.6265917836050561
fa,-0.30569920271880274,0.3338931364506602
fr,-0.0785355471607104,0.8083095479098312
he,0.13101394402234404,0.6848487144273757
pt,0.04852029972798591,0.8809685904054588
ug,0.13101394402234404,0.6848487144273757
ur,-0.29485412911622205,0.352181464563197
vi,-0.30569920271880274,0.3338931364506602
zh,0.39304183206703214,0.20625575661998335
